Bekerules	Leiras	Ar	Kerulet	Iroda	Jelleg	Alapterulet
2007.02.20	Honvédtemetõ u. / újépítésû, 54 m2-es, 2 szoba + étkezõ, központi gáz, parkoló, erkély	16800000	1	2	lakás	54
2007.04.12	Szigligeti u. / 54 m2-es, 2 szoba, garázs, loggia, felújított, tégla-gáz fûtésû lakás	14700000	2	3	lakás	54
2007.05.14	Böszörményi u. / 54 m2 távfûtés felújított, 2 szobás lakás.	12100000	2	1	lakás	54
2007.05.06	Poroszlay u. / 54 m2-es, 2 szoba, felújított, tömbbfûtés, erkélyes lakás 	11800000	3	0	lakás	54
2007.02.10	Csanak u. / 54 m2-es 2 szobás gázfûtéses jó állapotú lakás garázzsal pincéve, zárt udvarban	15400000	3	3	lakás	54
2007.04.25	Sínai u. / 55 m2, 1 + 2 szoba	8900000	2	0	lakás	55
2007.03.21	Nyár u. / fsz-i 56 m2-es 2 szobás felújított lakás, pincével redõnyös ablakokkal eladó	10500000	3	3	lakás	56
2007.02.07	Füredi u. / 60 m2, 2 + 1 szoba, erkély, felújítandó	8300000	3	1	lakás	60
2007.02.16	Kassai u. / fszt-i. 60 m2 2 szoba + étkezõ konyha konvektoros felújított lakás pincerekesz	11700000	1	1	lakás	60
2007.05.06	Kossuth u. / 2. emeleti 60 m2 2,5 szoba + étkezõ gázfûtéses jó állapotú, zártudvaros lakás, kocsibeállási lehetõséggel 	14500000	3	4	lakás	60
2007.03.19	Egressy Béni tér / fsz.-i 60 m2-es, 1 + 2 szobás, felújított lakás 60 m2 elõkerttel eladó 	14400000	1	3	lakás	60
2007.04.17	Füredi u. / 62 m2, 2 + 1 szobás, erkélyes felújítandó	7700000	1	1	lakás	62
2007.04.13	Monti E. u. / 63 m2, 1 + 3 szobás, szép lakás, csere érdekli	13500000	1	1	lakás	63
2007.04.03	Kürtös u. / 1. emeleti 63 m2 2 + 1 szobás gázfûtéses szép lakás társasházi zárt udvaros. Kímával garázzsal, erkéllyel	23300000	2	0	lakás	63
2007.02.28	Lehel u.  / 1. emeleti 65 m2-es 2,5 szobás távfûtéses átlagos állapotú lakás	10700000	3	4	lakás	65
2007.04.01	Szoboszlói u.  / 68 m2 1 + 2 sz. konvektoros, felújított, erkélyes, tárolóval	11200000	3	1	lakás	68
2007.05.06	Poroszlay u. / fsz.-i, 68 m2-es, 2,5 szoba, felújított, tömbbfûtés, erkélyes, zártudvaros lakás	14900000	3	2	lakás	68
2007.05.13	Bajcsy Zs út / 70 m2-es 2 szoba gázfûtéses, galériás szép lakás, kocsibeállás	11200000	2	2	lakás	70
